Adobe Photoshop Elements 11|Bring your photos to life with a powerful picture editing solution built from Adobe Photoshop software, the professional standard for digital image editing.|89.5|SW_P_Adobe.jpg|1|TRUE|6.4|5.5|1.2|7.5
Corel VideoStudio Pro X4 Ultimate|Step up to Corel VideoStudio Pro X4 Ultimate - your end-to-end video-editing software for results that scream blockbuster! Get all the high-speed HD editing tools in VideoStudio Pro X4, plus pro-quality bonus plug-ins proDAD Mercalli SE for extreme video stabilization, and Boris Graffiti for broadcast-quality titles, animations and graphics.|29.5|SW_P_Corel.jpg|1|TRUE|11.2|5.3|2|7.5
Paperport 14.0|PaperPort 14 is the fastest and easiest way to scan, share, search, and organize documents, files, and photos. PaperPort 14 on your PC now delivers anytime-anywhere access to your most important files however it's convenient for you - using a PC, Mac, iPhone, iPad, or Android device The visual document desktop along with one-button scanning creates large clear thumbnails of all your documents that you can move and stack like paper, making Microsoft Windows more productive. It's no wonder millions of people worldwide rely on PaperPort to eliminate paper, get more organized, and achieve new levels of personal efficiency.|39.5|SW_P_Paperport.jpg|1|TRUE|2.4|5|1.5|7.5
Photomatix Pro 4|Photomatix Pro is photographic software developed by HDRsoft for Mac OS X and Microsoft Windows and primarily designed to make the process of merging multiple photographs into high dynamic range images and then locally tone-mapping them back to LDR images, easier and more streamlined. By automatically blending multiple exposures of photos it has the ability to create 32-bcv cv vc it images and tone mapped images. These different exposures are best taken as three different RAW files. However, in some circumstances you can use one file and process the different exposures from this photography.|98.99|SW_P_Photomatix.jpg|1|TRUE|6.4|5.5|7.6|1.2
XCOM: Enemy Unknown|Threatened by an unknown enemy, the Earth's governments unite to form a secret paramilitary organization, known as XCOM, to combat this extraterrestrial attack. As the commander of XCOM, you control the global defense team and its resources in a battle against the terrifying alien invasion. XCOM: Enemy Unknown is a reimagining of X-COM, the classic strategy game from 1993, and developed by the award-winning creators of Civilization. You will control the fate of the human race by creating and managing a fully operational base, researching alien technologies, planning combat missions, and controlling soldier movement in battle.|55.99|SW_G_XCOM.jpg|1|TRUE|8.3|5.4|2|7.5
The Sims 3|The freedom of The Sims 3 will inspire you with endless creative possibilities and amuse you with unexpected moments of surprise and mischief. Create millions of unique Sims and control their lives. Customize their appearances and personalities. Build their homes - design everything from exquisitely furnished dream homes to quaint cottages. Then, send your Sims out to explore their ever-changing neighborhood and to meet other Sims in the town center. With all-new quick challenges and rewarding game play, The Sims 3 gives you the freedom to choose whether (or not) to fulfill your Sims' destinies and make their wishes come true.|24.99|SW_G_Sims.jpg|1|TRUE|8.3|5.4|2|7.5
Guild Wars 2|A full 250 years after the original Guild Wars, massive upheavals, cataclysms, and globe-spanning events have changed the world of Tyria. Human civilization is in decline. Other races are rising up, taking control over large portions of the world; the balance of power has shifted. The dragons have awoken.|59.5|SW_G_Guild.jpg|1|TRUE|8.3|5.4|2|7.5
QuickBooks Pro 2013|QuickBooks Pro helps you organize your business finances all in one place so you can complete your frequent tasks in fewer steps.|195|SW_F_Quick.jpg|1|TRUE|5.6|5.4|2|7.5
Sage Peachtree Complete Accounting 2011|Sage Peachtree Complete Accounting 2011 helps you work more easily and efficiently with robust core accounting and added features like job costing, time and billing, in-depth inventory capabilities, and analysis tools. Its multi-user option* helps improve productivity while providing screen-level security and a clear audit trail. Save time with simplified dashboards, management centers, integration with Microsoft Excel*, and comparative budgeting. The Internal Accounting Review* helps you track errors and deter fraud. Available with more than 100 customizable business reports and financial statements. Achieve better business results through accurate accounting and business controls with Sage Peachtree Complete Accounting 2011.|25.5|SW_F_Peachtree.jpg|1|TRUE|6.4|5.5|7.6|1.2
GTX 680|Get to the next level with the EVGA GeForce GTX 680. This card delivers truly game-changing performance that taps into the powerful new GeForce architecture to redefine smooth, seamless, lifelike gaming. It offers brand new, never before seen features that will redefine the way you think about performance graphics cards. Expect more from your graphics card that just state-of-the-art features and technology; get faster, smoother and a richer gaming experience with the EVGA GeForce GTX 680.|468.99|GC_GTX680.jpg|1|TRUE|49.6|10|2|4.4
